held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,45,80,0.7,0.1144176475905331,0.09636506835709469,0,109,263
attack_flow,ctid,45,80,0.8,0.11514531236122809,0.0946124686920777,0,109,263
attack_flow,ctid,45,80,0.9,0.10935994089166726,0.09256266806201277,0,109,263
attack_flow,ctid,45,80,1.0,0.10947044267903192,0.0964203780241733,0,109,263
attack_flow,ctid,45,100,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,45,100,0.1,0.11524533908008912,0.11029036675853296,0,109,263
attack_flow,ctid,45,100,0.2,0.11497571545956757,0.110123115666518,0,109,263
attack_flow,ctid,45,100,0.3,0.11375457806943223,0.10879720365406612,0,109,263
attack_flow,ctid,45,100,0.4,0.11259355757441773,0.09977821719689497,0,109,263
attack_flow,ctid,45,100,0.5,0.10801545957169809,0.09543846466783791,0,109,263
attack_flow,ctid,45,100,0.6,0.1076091900886903,0.09521466013431981,0,109,263
attack_flow,ctid,45,100,0.7,0.10610463040531748,0.0953992390918956,0,109,263
