held_out_source,inner_validation_source,seed,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,validation_rows
attack_flow,ctid,43,0.8,0.19317735986106316,0.1836301084293418,0,263
attack_flow,ctid,43,0.9,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,43,1.0,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,44,0.0,0.10821325635934269,0.12909526090771803,0,263
attack_flow,ctid,44,0.1,0.13651615133257833,0.1404837172531744,0,263
attack_flow,ctid,44,0.2,0.1475858388654712,0.14278786460537352,0,263
attack_flow,ctid,44,0.3,0.16211628666488292,0.16763715041901942,0,263
attack_flow,ctid,44,0.4,0.1655841516414586,0.17437202193715273,0,263
attack_flow,ctid,44,0.5,0.16907643415243204,0.1790772237935537,0,263
attack_flow,ctid,44,0.6,0.17960366369335018,0.18640217528850447,1,263
attack_flow,ctid,44,0.7,0.18696822798549553,0.1809194861830286,0,263
attack_flow,ctid,44,0.8,0.19317735986106316,0.1836301084293418,0,263
attack_flow,ctid,44,0.9,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,44,1.0,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,45,0.0,0.09846050989439702,0.12909526090771803,0,263
attack_flow,ctid,45,0.1,0.13600160868078476,0.1404837172531744,0,263
attack_flow,ctid,45,0.2,0.14503426453693244,0.14278786460537352,0,263
attack_flow,ctid,45,0.3,0.15931222601413172,0.16763715041901942,0,263
attack_flow,ctid,45,0.4,0.16289729401207736,0.17437202193715273,0,263
attack_flow,ctid,45,0.5,0.16781625261201144,0.1790772237935537,0,263
attack_flow,ctid,45,0.6,0.17848645678985858,0.18640217528850447,1,263
attack_flow,ctid,45,0.7,0.18696822798549553,0.1809194861830286,0,263
attack_flow,ctid,45,0.8,0.19317735986106316,0.1836301084293418,0,263
attack_flow,ctid,45,0.9,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,45,1.0,0.19427925702024187,0.18419386758119152,0,263
attack_flow,ctid,46,0.0,0.1025195286050203,0.12909526090771803,0,263
attack_flow,ctid,46,0.1,0.13167120846564134,0.1404837172531744,0,263
attack_flow,ctid,46,0.2,0.14003334037595494,0.14278786460537352,0,263
attack_flow,ctid,46,0.3,0.15656499404317456,0.16763715041901942,0,263
attack_flow,ctid,46,0.4,0.15961043545146156,0.17437202193715273,0,263
attack_flow,ctid,46,0.5,0.1632029160662245,0.1790772237935537,0,263
attack_flow,ctid,46,0.6,0.17951486698225222,0.18640217528850447,1,263
attack_flow,ctid,46,0.7,0.18691658986404977,0.1809194861830286,0,263
attack_flow,ctid,46,0.8,0.19300613872153247,0.1836301084293418,0,263
