comparison,metric,omitted_campaign,campaigns_remaining,full_effect,leave_one_out_effect
T+B0-B0,ndcg5,fin7::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,menu_pass::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,oilrig::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,sandworm::unknown,9,0.00011249040737231763,0.00019870100447531383
T+B0-B0,ndcg5,turla_carbon::unknown,9,0.00011249040737231763,-7.371166295051646e-05
T+B0-B0,ndcg5,turla_snake::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,ndcg5,wizard_spider::unknown,9,0.00011249040737231763,0.00012498934152479737
T+B0-B0,hit5,apt29::unknown,9,0.0,0.0
T+B0-B0,hit5,carbanak::unknown,9,0.0,0.0
T+B0-B0,hit5,fin6::unknown,9,0.0,0.0
T+B0-B0,hit5,fin7::unknown,9,0.0,0.0
T+B0-B0,hit5,menu_pass::unknown,9,0.0,0.0
T+B0-B0,hit5,oilrig::unknown,9,0.0,0.0
T+B0-B0,hit5,sandworm::unknown,9,0.0,0.0
T+B0-B0,hit5,turla_carbon::unknown,9,0.0,0.0
T+B0-B0,hit5,turla_snake::unknown,9,0.0,0.0
T+B0-B0,hit5,wizard_spider::unknown,9,0.0,0.0
T+B0-B0,precision5,apt29::unknown,9,0.0,0.0
T+B0-B0,precision5,carbanak::unknown,9,0.0,0.0
T+B0-B0,precision5,fin6::unknown,9,0.0,0.0
T+B0-B0,precision5,fin7::unknown,9,0.0,0.0
T+B0-B0,precision5,menu_pass::unknown,9,0.0,0.0
T+B0-B0,precision5,oilrig::unknown,9,0.0,0.0
T+B0-B0,precision5,sandworm::unknown,9,0.0,0.0
T+B0-B0,precision5,turla_carbon::unknown,9,0.0,0.0
T+B0-B0,precision5,turla_snake::unknown,9,0.0,0.0
T+B0-B0,precision5,wizard_spider::unknown,9,0.0,0.0
T+B0-B0,recall5,apt29::unknown,9,0.0,0.0
T+B0-B0,recall5,carbanak::unknown,9,0.0,0.0
T+B0-B0,recall5,fin6::unknown,9,0.0,0.0
T+B0-B0,recall5,fin7::unknown,9,0.0,0.0
T+B0-B0,recall5,menu_pass::unknown,9,0.0,0.0
T+B0-B0,recall5,oilrig::unknown,9,0.0,0.0
T+B0-B0,recall5,sandworm::unknown,9,0.0,0.0
T+B0-B0,recall5,turla_carbon::unknown,9,0.0,0.0
T+B0-B0,recall5,turla_snake::unknown,9,0.0,0.0
T+B0-B0,recall5,wizard_spider::unknown,9,0.0,0.0
