held_out_source,inner_validation_source,tactic_lambda,b0_lambda,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,training_rows,validation_rows
ctid,stockpile,0.2,0.0,0.12047552784874958,0.09474707597127914,0,412,109
ctid,stockpile,0.3,0.0,0.1252132911035816,0.09702173287822125,0,412,109
ctid,stockpile,0.4,0.0,0.12669261384355707,0.09789106695716424,0,412,109
ctid,stockpile,0.5,0.0,0.1458011537013556,0.10039131100613992,0,412,109
ctid,stockpile,0.6,0.0,0.14654706329219788,0.09952783146764722,0,412,109
ctid,stockpile,0.7,0.0,0.1539106453902717,0.10265178848105508,0,412,109
ctid,stockpile,0.8,0.0,0.1377826077650763,0.09384635967448951,0,412,109
ctid,stockpile,0.9,0.0,0.12997283892237,0.09040643244537469,0,412,109
ctid,stockpile,1.0,0.0,0.01652605476954228,0.021884687257427662,0,412,109
ctid,stockpile,0.0,0.1,0.13915713606397778,0.11281304431564838,0,412,109
ctid,stockpile,0.1,0.1,0.13995763258368585,0.11341486445932294,0,412,109
ctid,stockpile,0.2,0.1,0.13700886136675872,0.11438166896939621,0,412,109
ctid,stockpile,0.3,0.1,0.13905375150143057,0.11276113633890757,0,412,109
ctid,stockpile,0.4,0.1,0.13284913462699685,0.10926209785305233,0,412,109
ctid,stockpile,0.5,0.1,0.1303540590524841,0.10650796539366071,0,412,109
ctid,stockpile,0.6,0.1,0.13376844382196107,0.10709313488998146,0,412,109
ctid,stockpile,0.7,0.1,0.15155295684617587,0.11663900907940722,0,412,109
ctid,stockpile,0.8,0.1,0.14054983624164974,0.10782259952574805,0,412,109
ctid,stockpile,0.9,0.1,0.16004938905605068,0.11679020369262834,0,412,109
ctid,stockpile,1.0,0.1,0.09493433656865431,0.07476168973014206,0,412,109
ctid,stockpile,0.0,0.2,0.16122724424697335,0.13992432852153597,0,412,109
ctid,stockpile,0.1,0.2,0.16616572682036487,0.14372694029944855,0,412,109
ctid,stockpile,0.2,0.2,0.16735145783150365,0.14594901756644818,0,412,109
ctid,stockpile,0.3,0.2,0.16530745355140106,0.14600959364329535,0,412,109
ctid,stockpile,0.4,0.2,0.1714613288557809,0.14868353927376318,0,412,109
ctid,stockpile,0.5,0.2,0.19309538994817307,0.162496130219563,0,412,109
ctid,stockpile,0.6,0.2,0.19828155130199607,0.16713837468577886,0,412,109
ctid,stockpile,0.7,0.2,0.19711178799571258,0.17417261666347117,0,412,109
ctid,stockpile,0.8,0.2,0.19888811386348873,0.1823449167106902,0,412,109
ctid,stockpile,0.9,0.2,0.18691951283676841,0.1795560673134341,0,412,109
ctid,stockpile,1.0,0.2,0.15207537821583633,0.16117314213498826,0,412,109
ctid,stockpile,0.0,0.3,0.19665432074957942,0.1849595871099562,0,412,109
ctid,stockpile,0.1,0.3,0.20015367619874797,0.1871493363135262,0,412,109
ctid,stockpile,0.2,0.3,0.19855239129378802,0.18648661547802742,0,412,109
ctid,stockpile,0.3,0.3,0.1984104367104954,0.1875924914533994,0,412,109
ctid,stockpile,0.4,0.3,0.19803116172312205,0.18866235630039202,0,412,109
ctid,stockpile,0.5,0.3,0.211685664308108,0.19819965825736574,0,412,109
ctid,stockpile,0.6,0.3,0.21296574553158823,0.20051028367140925,0,412,109
ctid,stockpile,0.7,0.3,0.20022362670259367,0.19561816522445466,0,412,109
ctid,stockpile,0.8,0.3,0.18893387813416887,0.19243803873306686,0,412,109
ctid,stockpile,0.9,0.3,0.1882704418382194,0.19259098652263557,0,412,109
ctid,stockpile,1.0,0.3,0.1605310782615925,0.17412241600641334,0,412,109
ctid,stockpile,0.0,0.4,0.1958981714068139,0.1965014951175677,0,412,109
