held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,stockpile,42,40,0.9,0.06420899694506618,0.0885098621343221,0,263,109
attack_flow,stockpile,42,40,1.0,0.07069353310308114,0.09052523341108018,0,263,109
attack_flow,stockpile,42,60,0.0,0.15578535298008467,0.12909526090771803,0,263,109
attack_flow,stockpile,42,60,0.1,0.13541425483792158,0.11624644830238984,0,263,109
attack_flow,stockpile,42,60,0.2,0.13338782947989916,0.11567623990156468,0,263,109
attack_flow,stockpile,42,60,0.3,0.13037248219523354,0.11236070454676439,0,263,109
attack_flow,stockpile,42,60,0.4,0.12299910052433125,0.11052702249779496,0,263,109
attack_flow,stockpile,42,60,0.5,0.09387672916251683,0.10532150521312766,0,263,109
attack_flow,stockpile,42,60,0.6,0.08966402551175738,0.09342171508718454,0,263,109
attack_flow,stockpile,42,60,0.7,0.06859776547784034,0.09124811894391104,0,263,109
attack_flow,stockpile,42,60,0.8,0.06759815964276644,0.08905642747946589,0,263,109
attack_flow,stockpile,42,60,0.9,0.0667330252772679,0.09039287993225141,0,263,109
attack_flow,stockpile,42,60,1.0,0.0716149646938274,0.08838031970629541,0,263,109
attack_flow,stockpile,42,80,0.0,0.15578535298008467,0.12909526090771803,0,263,109
attack_flow,stockpile,42,80,0.1,0.14051953832342245,0.11694680678067075,0,263,109
attack_flow,stockpile,42,80,0.2,0.13800627562866347,0.11533794369456238,0,263,109
attack_flow,stockpile,42,80,0.3,0.1290307334372892,0.11231922360237794,0,263,109
attack_flow,stockpile,42,80,0.4,0.1283063610054637,0.11134956551972638,0,263,109
attack_flow,stockpile,42,80,0.5,0.11058565794095479,0.10833768284902527,0,263,109
attack_flow,stockpile,42,80,0.6,0.09621675675024072,0.103898286465629,0,263,109
attack_flow,stockpile,42,80,0.7,0.07522421911210725,0.09252547997850334,0,263,109
attack_flow,stockpile,42,80,0.8,0.08260429754313812,0.09205211665426269,0,263,109
attack_flow,stockpile,42,80,0.9,0.08411401164623664,0.09433028448486036,0,263,109
attack_flow,stockpile,42,80,1.0,0.087021484510222,0.0964203780241733,0,263,109
attack_flow,stockpile,42,100,0.0,0.15578535298008467,0.12909526090771803,0,263,109
attack_flow,stockpile,42,100,0.1,0.13798592822608355,0.1177876914302016,0,263,109
attack_flow,stockpile,42,100,0.2,0.14292085205520721,0.11666918744019275,0,263,109
attack_flow,stockpile,42,100,0.3,0.13361730971342797,0.11319113766166163,0,263,109
attack_flow,stockpile,42,100,0.4,0.13401505298699082,0.11264828183041367,0,263,109
attack_flow,stockpile,42,100,0.5,0.11751792340394124,0.10990937375478316,0,263,109
