method,held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+P,attack_flow,ctid,44,20,1.0,0.11272531614748642,0.0947681944091113,0,109,263
HM+P,attack_flow,ctid,44,40,0.0,0.10821325635934269,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,44,40,0.1,0.10213575096325359,0.11619249076744476,0,109,263
HM+P,attack_flow,ctid,44,40,0.2,0.10183932065633432,0.115472849972629,0,109,263
HM+P,attack_flow,ctid,44,40,0.3,0.10074525754760458,0.11397470061997594,0,109,263
HM+P,attack_flow,ctid,44,40,0.4,0.10257042261627451,0.10435911209793731,0,109,263
HM+P,attack_flow,ctid,44,40,0.5,0.11326496930816157,0.09907965641685987,0,109,263
HM+P,attack_flow,ctid,44,40,0.6,0.11320014407747854,0.09653660114184795,0,109,263
HM+P,attack_flow,ctid,44,40,0.7,0.11890043717008059,0.09563632794812585,0,109,263
HM+P,attack_flow,ctid,44,40,0.8,0.11921896592748513,0.09563792670497569,0,109,263
HM+P,attack_flow,ctid,44,40,0.9,0.12389444638208802,0.09596477820154072,0,109,263
HM+P,attack_flow,ctid,44,40,1.0,0.13540155406292034,0.09770431965375566,0,109,263
HM+P,attack_flow,ctid,44,60,0.0,0.10821325635934269,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,44,60,0.1,0.10240939040337879,0.11540829688216661,0,109,263
HM+P,attack_flow,ctid,44,60,0.2,0.10106192536258932,0.11472569698740938,0,109,263
HM+P,attack_flow,ctid,44,60,0.3,0.099712584655375,0.11262191339304808,0,109,263
HM+P,attack_flow,ctid,44,60,0.4,0.09974946004032897,0.10634138048680505,0,109,263
HM+P,attack_flow,ctid,44,60,0.5,0.10961839436284153,0.10118453657914903,0,109,263
HM+P,attack_flow,ctid,44,60,0.6,0.11210489805253258,0.09277659685383194,0,109,263
HM+P,attack_flow,ctid,44,60,0.7,0.11097949825119577,0.09214466941657719,0,109,263
HM+P,attack_flow,ctid,44,60,0.8,0.11289626615818267,0.0920412052049993,0,109,263
HM+P,attack_flow,ctid,44,60,0.9,0.1155915419437004,0.09064970463728131,0,109,263
HM+P,attack_flow,ctid,44,60,1.0,0.11829690569533305,0.0914503383348435,0,109,263
HM+P,attack_flow,ctid,44,80,0.0,0.10821325635934269,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,44,80,0.1,0.10240939040337879,0.11552790343123809,0,109,263
HM+P,attack_flow,ctid,44,80,0.2,0.10200015876713206,0.11403353974475358,0,109,263
HM+P,attack_flow,ctid,44,80,0.3,0.09785641779554766,0.11226162186915496,0,109,263
HM+P,attack_flow,ctid,44,80,0.4,0.10247939491140719,0.10752085147335119,0,109,263
HM+P,attack_flow,ctid,44,80,0.5,0.106939631109742,0.10170354010075278,0,109,263
HM+P,attack_flow,ctid,44,80,0.6,0.10872129930528993,0.09226177839234292,0,109,263
HM+P,attack_flow,ctid,44,80,0.7,0.11760542267950125,0.0873343583672137,0,109,263
HM+P,attack_flow,ctid,44,80,0.8,0.1191578463138238,0.08761810120667297,0,109,263
HM+P,attack_flow,ctid,44,80,0.9,0.12230679027128241,0.08839473325475976,0,109,263
HM+P,attack_flow,ctid,44,80,1.0,0.12092630030101677,0.08886070868361154,0,109,263
HM+P,attack_flow,ctid,44,100,0.0,0.10821325635934269,0.12909526090771803,0,109,263
HM+P,attack_flow,ctid,44,100,0.1,0.10369519560067705,0.11637248892859857,0,109,263
HM+P,attack_flow,ctid,44,100,0.2,0.10187591659724367,0.11493940206444635,0,109,263
HM+P,attack_flow,ctid,44,100,0.3,0.09968153002836609,0.11323336152389833,0,109,263
HM+P,attack_flow,ctid,44,100,0.4,0.10042436976187892,0.10781646636953066,0,109,263
HM+P,attack_flow,ctid,44,100,0.5,0.10188723558512403,0.10183834940515804,0,109,263
HM+P,attack_flow,ctid,44,100,0.6,0.10829641760761395,0.09132822717983281,0,109,263
HM+P,attack_flow,ctid,44,100,0.7,0.11494014794652996,0.08964461512793773,0,109,263
HM+P,attack_flow,ctid,44,100,0.8,0.11223516219573007,0.08815867154178511,0,109,263
