scope,comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
stockpile,LSTM-A,recall5,-0.06975061975061975,-0.1508531129364463,-0.00214389776889779,2000,20260807
stockpile,TR-A,ndcg5,-0.06192321938150095,-0.12187635827342265,-0.01842857007517825,2000,20260807
stockpile,TR-A,hit5,-0.109175238341905,-0.22782798605715274,-0.006942640692640765,2000,20260807
stockpile,TR-A,precision5,-0.023566649399982733,-0.04661456984373651,-0.003480591168091171,2000,20260807
stockpile,TR-A,recall5,-0.06860323318656653,-0.14895045540878876,-0.0012040679228179463,2000,20260807
stockpile,LSTM-A0,ndcg5,-0.001456009160093156,-0.005172096330349312,0.002394424861738417,2000,20260807
stockpile,LSTM-A0,hit5,-0.010463764630431303,-0.019746322350489027,-0.0027336860670194047,2000,20260807
stockpile,LSTM-A0,precision5,-0.0007347282347282343,-0.002059163059163058,0.00018518518518518518,2000,20260807
stockpile,LSTM-A0,recall5,-0.0013718534551867858,-0.0040654561487894715,0.000462962962962963,2000,20260807
stockpile,TR-A0,ndcg5,-0.002208496140507652,-0.007393211552579636,0.0031637499496956676,2000,20260807
stockpile,TR-A0,hit5,-0.0006734006734006695,-0.0020202020202020085,0.0,2000,20260807
stockpile,TR-A0,precision5,-0.0001346801346801345,-0.00040404040404040355,0.0,2000,20260807
stockpile,TR-A0,recall5,-0.00022446689113355924,-0.0006734006734006778,0.0,2000,20260807
stockpile,TR-LSTM,ndcg5,-0.0007524869804144958,-0.002540600489022678,0.0009858732725621174,2000,20260807
stockpile,TR-LSTM,hit5,0.009790363957030633,0.002271675084175086,0.018767436267436276,2000,20260807
stockpile,TR-LSTM,precision5,0.0006000481000480997,-0.00018518518518518518,0.0018003547378547355,2000,20260807
stockpile,TR-LSTM,recall5,0.0011473865640532265,-0.000462962962962963,0.0034314123376623235,2000,20260807
source_equal_overall,LSTM-A,ndcg5,-0.022989194769423172,-0.04993856445344737,0.001299829120878359,2000,20260807
source_equal_overall,LSTM-A,hit5,-0.06433871162071454,-0.12123144484233923,-0.012799709609931192,2000,20260807
source_equal_overall,LSTM-A,precision5,-0.010950419252887528,-0.02488735489573638,0.0020050033097291416,2000,20260807
source_equal_overall,LSTM-A,recall5,-0.030345700254141805,-0.06367292063655604,-0.00042839465287909,2000,20260807
source_equal_overall,TR-A,ndcg5,-0.056061921453574075,-0.08128518901632736,-0.033784829115703116,2000,20260807
source_equal_overall,TR-A,hit5,-0.1188856137037757,-0.16995527303428343,-0.07146039512065651,2000,20260807
source_equal_overall,TR-A,precision5,-0.02830462878634031,-0.03965751562504667,-0.01738138948835205,2000,20260807
source_equal_overall,TR-A,recall5,-0.06254976595847501,-0.0942881705122328,-0.03319821394859109,2000,20260807
source_equal_overall,LSTM-A0,ndcg5,-0.014000565021614612,-0.027457013421896097,-0.0012502818484906623,2000,20260807
source_equal_overall,LSTM-A0,hit5,-0.04237407076045339,-0.06838832347337988,-0.01868512712766057,2000,20260807
source_equal_overall,LSTM-A0,precision5,-0.011482308543921642,-0.018822029947458123,-0.005204515989446657,2000,20260807
source_equal_overall,LSTM-A0,recall5,-0.022570900093444323,-0.03662079863384122,-0.010531195262574195,2000,20260807
source_equal_overall,TR-A0,ndcg5,-0.04707329170576552,-0.07080630067567213,-0.022053223741030335,2000,20260807
source_equal_overall,TR-A0,hit5,-0.09692097284351454,-0.15446572000102562,-0.03539848130807672,2000,20260807
source_equal_overall,TR-A0,precision5,-0.028836518077374428,-0.04517532329487052,-0.01196321998412636,2000,20260807
source_equal_overall,TR-A0,recall5,-0.05477496579777754,-0.08503915589850114,-0.022488437016732386,2000,20260807
source_equal_overall,TR-LSTM,ndcg5,-0.0330727266841509,-0.054988885046126264,-0.010225046119589026,2000,20260807
source_equal_overall,TR-LSTM,hit5,-0.054546902083061156,-0.10262557352668916,-0.0012299540072726203,2000,20260807
source_equal_overall,TR-LSTM,precision5,-0.01735420953345278,-0.030873524087342598,-0.0024371668107823707,2000,20260807
source_equal_overall,TR-LSTM,recall5,-0.03220406570433322,-0.05716220363404301,-0.004699774565364325,2000,20260807
