architecture,held_out_source,inner_training_source,inner_validation_source,learning_rate,seed,epoch,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
LSTM,ctid,attack_flow,stockpile,0.001,44,20,0.0915310742019109,0.06211115934104052,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,44,40,0.10474467714014751,0.0667896238990687,1,412,109
LSTM,ctid,attack_flow,stockpile,0.001,44,60,0.09314263931709188,0.06055293126413517,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,44,80,0.10017860060489801,0.06363638360948554,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,44,100,0.03697489953240384,0.05706328482309826,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,45,20,0.059027828421514,0.06211115934104052,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,45,40,0.06257008003060902,0.0667896238990687,1,412,109
LSTM,ctid,attack_flow,stockpile,0.001,45,60,0.054353415128827826,0.06055293126413517,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,45,80,0.05666249999234903,0.06363638360948554,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,45,100,0.05317300617470756,0.05706328482309826,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,46,20,0.03565728660656974,0.06211115934104052,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,46,40,0.033571073839125304,0.0667896238990687,1,412,109
LSTM,ctid,attack_flow,stockpile,0.001,46,60,0.03120312089554462,0.06055293126413517,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,46,80,0.023697624296168292,0.06363638360948554,0,412,109
LSTM,ctid,attack_flow,stockpile,0.001,46,100,0.03464639332690358,0.05706328482309826,0,412,109
LSTM,stockpile,ctid,attack_flow,0.0003,42,20,0.19029822194269508,0.19487278497543137,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,42,40,0.19153009531472667,0.19943656436483786,1,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,42,60,0.182872918712193,0.19493852798532943,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,42,80,0.1860851115785562,0.1878233961862376,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,42,100,0.1691255350579793,0.1872847001785163,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,43,20,0.1889655976128518,0.19487278497543137,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,43,40,0.18320792628070992,0.19943656436483786,1,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,43,60,0.18424530795235194,0.19493852798532943,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,43,80,0.18277021101262497,0.1878233961862376,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,43,100,0.17668156759162615,0.1872847001785163,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,44,20,0.19102023088571066,0.19487278497543137,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,44,40,0.1889561741280588,0.19943656436483786,1,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,44,60,0.1919500479349353,0.19493852798532943,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,44,80,0.18174756484774596,0.1878233961862376,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,44,100,0.18062378727999717,0.1872847001785163,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,45,20,0.18185489021558743,0.19487278497543137,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,45,40,0.1911450018541629,0.19943656436483786,1,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,45,60,0.18776328366939998,0.19493852798532943,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,45,80,0.1857360779191281,0.1878233961862376,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,45,100,0.1819655946243302,0.1872847001785163,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,46,20,0.18373405734223755,0.19487278497543137,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,46,40,0.18619841435731338,0.19943656436483786,1,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,46,60,0.18810369861548681,0.19493852798532943,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,46,80,0.19235311458592033,0.1878233961862376,0,263,412
LSTM,stockpile,ctid,attack_flow,0.0003,46,100,0.19135110801606126,0.1872847001785163,0,263,412
LSTM,stockpile,ctid,attack_flow,0.001,42,20,0.1840857207697346,0.1956216489801801,0,263,412
