held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,CO,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,CO,target_label_visibility,mixed,172,32,1,0.049310874231504,0.17474071067821068,0.03494814213564214,0.06223995911495911
attack_flow,CO,text_length,ge40,379,35,1,0.045694280284125144,0.13958176277504009,0.029752487008789533,0.06451026564471943
attack_flow,CO,text_length,lt40,33,18,1,0.07271974589467374,0.24074074074074073,0.0637037037037037,0.1154320987654321
attack_flow,CO,target_size,1,37,34,1,0.06664672012315667,0.14705882352941177,0.029411764705882353,0.14705882352941177
attack_flow,CO,target_size,2,84,34,1,0.05033243609320048,0.1493212669683258,0.035746606334841634,0.08936651583710407
attack_flow,CO,target_size,3,291,35,1,0.04888436325205833,0.15538359166510426,0.03441905526779477,0.05736509211299127
attack_flow,A,transition_visibility,all_seen,24,13,1,0.3031292917444748,0.5833333333333333,0.16153846153846155,0.4113247863247863
attack_flow,A,transition_visibility,all_unseen,261,35,1,0.12354536770908811,0.35143269428983714,0.07761306947021233,0.16637342815914244
attack_flow,A,transition_visibility,mixed,127,32,1,0.2769811055925115,0.7555574633699633,0.1635433836996337,0.30464362026862024
attack_flow,A,target_label_visibility,all_seen,231,33,1,0.22649396863003218,0.549987772553822,0.129831132239079,0.3190662903910945
attack_flow,A,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,A,target_label_visibility,mixed,172,32,1,0.14050723356237171,0.4369701479076479,0.09114402958152959,0.16134184102934102
attack_flow,A,text_length,ge40,379,35,1,0.1741278962775199,0.4472398268594642,0.102067665220916,0.21230089078939143
attack_flow,A,text_length,lt40,33,18,1,0.24833588676735602,0.6111111111111112,0.1362962962962963,0.2904320987654321
attack_flow,A,target_size,1,37,34,1,0.16823823256638984,0.3382352941176471,0.06764705882352942,0.3382352941176471
attack_flow,A,target_size,2,84,34,1,0.19583884192639567,0.46093514328808444,0.10003016591251886,0.25007541478129713
attack_flow,A,target_size,3,291,35,1,0.17771505253051165,0.504087753982712,0.11783339349725906,0.1963889891620984
attack_flow,K,transition_visibility,all_seen,24,13,1,0.2823941399235232,0.6025641025641025,0.1346153846153846,0.39743589743589747
attack_flow,K,transition_visibility,all_unseen,261,35,1,0.11503117352854775,0.32656274631064547,0.06974792341178897,0.14454214008835858
attack_flow,K,transition_visibility,mixed,127,32,1,0.2640953033227381,0.676531021062271,0.15105940934065934,0.2770127442002442
attack_flow,K,target_label_visibility,all_seen,231,33,1,0.1872596560161865,0.45133252916173655,0.10172471623792614,0.2237312418619193
attack_flow,K,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,K,target_label_visibility,mixed,172,32,1,0.13300113633729443,0.4035240800865801,0.08472267316017316,0.14734923641173642
attack_flow,K,text_length,ge40,379,35,1,0.16476621169679767,0.42319703086730953,0.09289898494055948,0.19107473756688703
attack_flow,K,text_length,lt40,33,18,1,0.21488625725523128,0.5055555555555555,0.11814814814814817,0.24629629629629632
attack_flow,K,target_size,1,37,34,1,0.16285323591781733,0.29411764705882354,0.058823529411764705,0.29411764705882354
attack_flow,K,target_size,2,84,34,1,0.16616766551236722,0.38966817496229256,0.08283559577677224,0.2070889894419306
attack_flow,K,target_size,3,291,35,1,0.16625069123866495,0.4774339875810464,0.10720338718237879,0.1786723119706313
attack_flow,T,transition_visibility,all_seen,24,13,1,0.3031292917444748,0.5833333333333333,0.16153846153846155,0.4113247863247863
attack_flow,T,transition_visibility,all_unseen,261,35,1,0.12354536770908811,0.35143269428983714,0.07761306947021233,0.16637342815914244
attack_flow,T,transition_visibility,mixed,127,32,1,0.2769811055925115,0.7555574633699633,0.1635433836996337,0.30464362026862024
attack_flow,T,target_label_visibility,all_seen,231,33,1,0.22649396863003218,0.549987772553822,0.129831132239079,0.3190662903910945
attack_flow,T,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
